body,left,right,x,y,z
70,20,140,8.0,0.0,1.5
70,90,132,11.0,0.0,9.0
70,100,190,17.0,0.0,6.0
70,100,100,8.0,0.0,10.0
70,40,100,5.5,0.0,3.0
70,50,120,8.0,0.0,4.0
70,80,120,9.0,0.0,7.5
70,80,100,7.0,0.0,7.0
70,80,80,5.5,0.0,6.0
70,80,70,5.0,0.0,6.5
70,70,70,5.0,0.0,5.5
90,70,70,5.0,3.0,5.0
80,90,120,9.2,2.0,9.0
90,90,120,8.5,4.0,9.0
100,90,120,8.0,5.8,9.0
100,80,120,8.0,5.8,7.5
100,80,100,6.0,5.0,7.0
100,80,140,10.1,6.8,7.5
100,90,140,10.0,7.5,9.0
70,90,120,9.0,4.5,9.0
30,90,120,7.0,8.5,9.0
60,90,140,12.4,2.5,9.2
60,90,100,7.5,2.0,8.5
60,50,100,6.5,2.0,4.0
60,50,90,4.8,2.0,2.6
20,90,120,5.9,10.0,8.5
10,90,120,3.6,11.5,8.5
15,90,120,4.4,11.0,8.5
85,90,120,9.4,3.5,8.5
105,90,120,7.4,7.5,8.5
115,90,120,6.9,8.5,8.5
125,90,120,5.9,10.0,8.5
125,90,120,5.9,10.0,8.5
140,90,120,2.9,12.0,8.5
40,60,160,11.6,9.5,3.5
50,60,160,12.5,6.5,3.5
60,60,160,13.4,4.0,3.5
70,60,160,13.6,1.5,3.5
80,60,160,13.6,2.0,3.5
90,60,160,12.9,4.4,3.5
110,60,160,10.6,9.6,3.5
130,60,160,6.9,13.5,3.5
